experiment,run_id,method,target,input_variant,scale_percent,repetition,D,D_regular,D_exception,D_exception_detection_f1,D_root_cause_macro_jaccard,D_exception_disposition_accuracy,D_passed,D_applicable,D_NA,N,N_passed,N_applicable,N_NA,E,EICPI_core_0_100,record_count,seconds_per_record,method_boundary_status,method_boundary_failures,method_boundary_warnings
C,C-25-IND-GEN-R2,generic_tool_agent,INDUSTRIAL,B0,25,2,0.3200922413151826,0.6401844826303652,0.0,0.1904761904761905,0.3333333333333333,0.38596491228070173,17430,27354,958,0.5752420250753849,18123,31505,1082,,,1014,0.9106744299388442,pass,[],[]
C,C-25-IND-DET-R2,deterministic_program,INDUSTRIAL,B0,25,2,0.4500111582236108,0.9000223164472216,0.0,0.5384615384615384,0.0,0.3684210526315789,24542,27370,958,0.9337771413089755,24126,25837,2526,,,1014,0.0010230692386621687,not_applicable,[],[]
C,C-25-POW-DET-R2,deterministic_program,POWER,B0,25,2,0.44047291723948306,0.8809458344789661,0.0,0.888888888888889,0.0,0.5538461538461539,3628,4231,112,0.8883720930232558,2292,2580,1410,,,145,0.00617232557249673,not_applicable,[],[]
C,C-25-POW-FULL-R2,full,POWER,B0,25,2,1.0,1.0,1.0,1.0,1.0,1.0,4179,4179,112,1.0,2804,2804,1186,,,145,0.4059514451169826,pass,[],[]
C,C-25-POW-GEN-R2,generic_tool_agent,POWER,B0,25,2,0.15878471267528182,0.31756942535056365,0.0,0.08695652173913043,0.16666666666666666,0.9692307692307692,1607,4183,112,0.8883720930232558,2292,2580,1410,,,145,6.478143514082607,fail,"[""GENERIC_ACCESSED_PATH_OUTSIDE_RUN_PACKAGE""]",[]
C,C-50-IND-DET-R2,deterministic_program,INDUSTRIAL,B0,50,2,0.4492314293176137,0.8984628586352273,0.0,0.5402298850574713,0.0,0.36220472440944884,48899,54646,1892,0.9317009809623512,48059,51582,5086,,,2026,0.0009093370760017813,not_applicable,[],[]
C,C-50-IND-FULL-R2,full,INDUSTRIAL,B0,50,2,1.0,1.0,1.0,1.0,1.0,1.0,54599,54599,1892,1.0,55362,55362,1302,,,2026,0.037171734307991686,pass,[],"[""NONEXISTENT_TOOL_CALL_NOT_EXECUTED""]"
C,C-50-IND-GEN-R2,generic_tool_agent,INDUSTRIAL,B0,50,2,0.290970697194315,0.5741894564041339,0.007751937984496124,0.045454545454545456,0.3333333333333333,0.36220472440944884,31292,54603,1892,0.7982628424367614,47147,59062,6030,,,2026,0.5856761545123454,pass,[],[]
C,C-50-POW-FULL-R2,full,POWER,B0,50,2,1.0,1.0,1.0,1.0,1.0,1.0,9006,9006,232,1.0,6296,6296,2200,,,308,0.17926586810053424,pass,[],[]
C,C-50-POW-DET-R2,deterministic_program,POWER,B0,50,2,0.438862440491105,0.87772488098221,0.0,0.8750000000000001,0.0,0.496,7798,9105,232,0.8867892114756915,5162,5821,2674,,,308,0.004804826162410779,not_applicable,[],[]
C,C-50-POW-GEN-R2,generic_tool_agent,POWER,B0,50,2,0.1662490603858682,0.3324981207717364,0.0,0.015873015873015872,0.0,0.488,3438,9008,232,0.16464465546956844,4872,29591,2776,,,308,4.18111064028586,pass,[],[]
